"Statistic Label","Region","Age","Sex","Year","UNIT","VALUE"
"Period Life Expectancy","Border","Birth","Male","2002","Years","74.8"
"Period Life Expectancy","Border","Birth","Male","2006","Years","77"
"Period Life Expectancy","Border","Birth","Male","2011","Years","78.55"
"Period Life Expectancy","Border","Birth","Male","2016","Years","79.5"
"Period Life Expectancy","Border","Birth","Female","2002","Years","80.9"
"Period Life Expectancy","Border","Birth","Female","2006","Years","81.7"
"Period Life Expectancy","Border","Birth","Female","2011","Years","82.93"
"Period Life Expectancy","Border","Birth","Female","2016","Years","83.5"
"Period Life Expectancy","Border","65 years","Male","2002","Years","15.3"
"Period Life Expectancy","Border","65 years","Male","2006","Years","16.5"
"Period Life Expectancy","Border","65 years","Male","2011","Years","17.6"
"Period Life Expectancy","Border","65 years","Male","2016","Years","18.3"
"Period Life Expectancy","Border","65 years","Female","2002","Years","19.2"
"Period Life Expectancy","Border","65 years","Female","2006","Years","19.8"
"Period Life Expectancy","Border","65 years","Female","2011","Years","20.69"
"Period Life Expectancy","Border","65 years","Female","2016","Years","21"
"Period Life Expectancy","Midland","Birth","Male","2002","Years","74.8"
"Period Life Expectancy","Midland","Birth","Male","2006","Years","77.2"
"Period Life Expectancy","Midland","Birth","Male","2011","Years","78.65"
"Period Life Expectancy","Midland","Birth","Male","2016","Years","80"
"Period Life Expectancy","Midland","Birth","Female","2002","Years","79.7"
"Period Life Expectancy","Midland","Birth","Female","2006","Years","81.5"
"Period Life Expectancy","Midland","Birth","Female","2011","Years","82.61"
"Period Life Expectancy","Midland","Birth","Female","2016","Years","83.2"
"Period Life Expectancy","Midland","65 years","Male","2002","Years","15.3"
"Period Life Expectancy","Midland","65 years","Male","2006","Years","16.8"
"Period Life Expectancy","Midland","65 years","Male","2011","Years","17.69"
"Period Life Expectancy","Midland","65 years","Male","2016","Years","18.4"
"Period Life Expectancy","Midland","65 years","Female","2002","Years","18.5"
"Period Life Expectancy","Midland","65 years","Female","2006","Years","19.3"
"Period Life Expectancy","Midland","65 years","Female","2011","Years","20.31"
"Period Life Expectancy","Midland","65 years","Female","2016","Years","20.6"
"Period Life Expectancy","West","Birth","Male","2002","Years","75.5"
"Period Life Expectancy","West","Birth","Male","2006","Years","77.1"
"Period Life Expectancy","West","Birth","Male","2011","Years","78.75"
"Period Life Expectancy","West","Birth","Male","2016","Years","79.7"
"Period Life Expectancy","West","Birth","Female","2002","Years","80.9"
"Period Life Expectancy","West","Birth","Female","2006","Years","82.7"
"Period Life Expectancy","West","Birth","Female","2011","Years","83.3"
"Period Life Expectancy","West","Birth","Female","2016","Years","84.5"
"Period Life Expectancy","West","65 years","Male","2002","Years","15.6"
"Period Life Expectancy","West","65 years","Male","2006","Years","16.8"
"Period Life Expectancy","West","65 years","Male","2011","Years","17.89"
"Period Life Expectancy","West","65 years","Male","2016","Years","18.5"
"Period Life Expectancy","West","65 years","Female","2002","Years","19"
"Period Life Expectancy","West","65 years","Female","2006","Years","20.6"
"Period Life Expectancy","West","65 years","Female","2011","Years","21.07"
"Period Life Expectancy","West","65 years","Female","2016","Years","21.7"
"Period Life Expectancy","Dublin","Birth","Male","2002","Years","75.2"
"Period Life Expectancy","Dublin","Birth","Male","2006","Years","76.7"
"Period Life Expectancy","Dublin","Birth","Male","2011","Years","78.27"
"Period Life Expectancy","Dublin","Birth","Male","2016","Years","80.1"
"Period Life Expectancy","Dublin","Birth","Female","2002","Years","80.2"
"Period Life Expectancy","Dublin","Birth","Female","2006","Years","81.2"
"Period Life Expectancy","Dublin","Birth","Female","2011","Years","82.68"
"Period Life Expectancy","Dublin","Birth","Female","2016","Years","83.4"
"Period Life Expectancy","Dublin","65 years","Male","2002","Years","15.5"
"Period Life Expectancy","Dublin","65 years","Male","2006","Years","16.9"
"Period Life Expectancy","Dublin","65 years","Male","2011","Years","17.79"
"Period Life Expectancy","Dublin","65 years","Male","2016","Years","18.7"
"Period Life Expectancy","Dublin","65 years","Female","2002","Years","18.9"
"Period Life Expectancy","Dublin","65 years","Female","2006","Years","19.7"
"Period Life Expectancy","Dublin","65 years","Female","2011","Years","20.55"
"Period Life Expectancy","Dublin","65 years","Female","2016","Years","21"
"Period Life Expectancy","Mid-East","Birth","Male","2002","Years","75.9"
"Period Life Expectancy","Mid-East","Birth","Male","2006","Years","77.2"
"Period Life Expectancy","Mid-East","Birth","Male","2011","Years","79.02"
"Period Life Expectancy","Mid-East","Birth","Male","2016","Years","80.3"
"Period Life Expectancy","Mid-East","Birth","Female","2002","Years","80.5"
"Period Life Expectancy","Mid-East","Birth","Female","2006","Years","81.4"
"Period Life Expectancy","Mid-East","Birth","Female","2011","Years","83.02"
"Period Life Expectancy","Mid-East","Birth","Female","2016","Years","84"
"Period Life Expectancy","Mid-East","65 years","Male","2002","Years","15.5"
"Period Life Expectancy","Mid-East","65 years","Male","2006","Years","16.6"
"Period Life Expectancy","Mid-East","65 years","Male","2011","Years","17.83"
"Period Life Expectancy","Mid-East","65 years","Male","2016","Years","18.6"
"Period Life Expectancy","Mid-East","65 years","Female","2002","Years","18.8"
"Period Life Expectancy","Mid-East","65 years","Female","2006","Years","19.5"
"Period Life Expectancy","Mid-East","65 years","Female","2011","Years","20.66"
"Period Life Expectancy","Mid-East","65 years","Female","2016","Years","21.3"
"Period Life Expectancy","Mid-West","Birth","Male","2002","Years","74.4"
"Period Life Expectancy","Mid-West","Birth","Male","2006","Years","76.3"
"Period Life Expectancy","Mid-West","Birth","Male","2011","Years","77.63"
"Period Life Expectancy","Mid-West","Birth","Male","2016","Years","79"
"Period Life Expectancy","Mid-West","Birth","Female","2002","Years","79.8"
"Period Life Expectancy","Mid-West","Birth","Female","2006","Years","80.4"
"Period Life Expectancy","Mid-West","Birth","Female","2011","Years","81.94"
"Period Life Expectancy","Mid-West","Birth","Female","2016","Years","82.5"
"Period Life Expectancy","Mid-West","65 years","Male","2002","Years","15.3"
"Period Life Expectancy","Mid-West","65 years","Male","2006","Years","16.1"
"Period Life Expectancy","Mid-West","65 years","Male","2011","Years","17.12"
"Period Life Expectancy","Mid-West","65 years","Male","2016","Years","18"
"Period Life Expectancy","Mid-West","65 years","Female","2002","Years","18.6"
"Period Life Expectancy","Mid-West","65 years","Female","2006","Years","18.7"
"Period Life Expectancy","Mid-West","65 years","Female","2011","Years","20.15"
"Period Life Expectancy","Mid-West","65 years","Female","2016","Years","20.3"
"Period Life Expectancy","South-East","Birth","Male","2002","Years","75.3"
"Period Life Expectancy","South-East","Birth","Male","2006","Years","76.8"
"Period Life Expectancy","South-East","Birth","Male","2011","Years","78.26"
"Period Life Expectancy","South-East","Birth","Male","2016","Years","79.3"
"Period Life Expectancy","South-East","Birth","Female","2002","Years","80.3"
"Period Life Expectancy","South-East","Birth","Female","2006","Years","81.7"
"Period Life Expectancy","South-East","Birth","Female","2011","Years","82.54"
"Period Life Expectancy","South-East","Birth","Female","2016","Years","83.1"
"Period Life Expectancy","South-East","65 years","Male","2002","Years","15.4"
"Period Life Expectancy","South-East","65 years","Male","2006","Years","16.7"
"Period Life Expectancy","South-East","65 years","Male","2011","Years","17.84"
"Period Life Expectancy","South-East","65 years","Male","2016","Years","18.3"
"Period Life Expectancy","South-East","65 years","Female","2002","Years","18.6"
"Period Life Expectancy","South-East","65 years","Female","2006","Years","19.9"
"Period Life Expectancy","South-East","65 years","Female","2011","Years","20.36"
"Period Life Expectancy","South-East","65 years","Female","2016","Years","20.7"
"Period Life Expectancy","South-West","Birth","Male","2002","Years","75.2"
"Period Life Expectancy","South-West","Birth","Male","2006","Years","76.5"
"Period Life Expectancy","South-West","Birth","Male","2011","Years","77.88"
"Period Life Expectancy","South-West","Birth","Male","2016","Years","79.1"
"Period Life Expectancy","South-West","Birth","Female","2002","Years","80.5"
"Period Life Expectancy","South-West","Birth","Female","2006","Years","81.6"
"Period Life Expectancy","South-West","Birth","Female","2011","Years","82.72"
"Period Life Expectancy","South-West","Birth","Female","2016","Years","83.2"
"Period Life Expectancy","South-West","65 years","Male","2002","Years","15.3"
"Period Life Expectancy","South-West","65 years","Male","2006","Years","16.4"
"Period Life Expectancy","South-West","65 years","Male","2011","Years","17.45"
"Period Life Expectancy","South-West","65 years","Male","2016","Years","17.8"
"Period Life Expectancy","South-West","65 years","Female","2002","Years","18.8"
"Period Life Expectancy","South-West","65 years","Female","2006","Years","20"
"Period Life Expectancy","South-West","65 years","Female","2011","Years","20.71"
"Period Life Expectancy","South-West","65 years","Female","2016","Years","20.8"
